,movie,year,content_rating,genre,runtime_min,imdb_rating,metascore,votes
11230,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11231,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11232,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11233,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11234,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11235,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11236,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11237,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11238,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11239,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11240,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11241,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11242,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11243,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11244,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11245,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11246,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11247,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11248,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11249,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11250,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11251,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11252,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11253,I Love America,(2022),16,['Comedy'],102,4.7,39,561
11254,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11255,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
